t_ms,wref,wl,wr,dl,dr
4,0.000,-0.000,-0.000,0.000,0.000
9,0.000,-0.000,-0.000,0.000,0.000
14,0.000,-0.000,-0.000,0.000,0.000
19,0.000,-0.000,-0.000,0.000,0.000
24,0.000,-0.000,-0.000,0.000,0.000
29,0.000,-0.000,-0.000,0.000,0.000
34,0.000,-0.000,-0.000,0.000,0.000
39,0.000,-0.000,-0.000,0.000,0.000
44,0.000,-0.000,-0.000,0.000,0.000
49,0.000,-0.000,-0.000,0.000,0.000
54,0.000,-0.000,-0.000,0.000,0.000
59,0.000,-0.000,-0.000,0.000,0.000
64,0.000,-0.000,-0.000,0.000,0.000
69,0.000,-0.000,-0.000,0.000,0.000
74,0.000,-0.000,-0.000,0.000,0.000
79,0.000,-0.000,-0.000,0.000,0.000
84,0.000,-0.000,-0.000,0.000,0.000
89,0.000,-0.000,-0.000,0.000,0.000
94,0.000,-0.000,-0.000,0.000,0.000
99,0.000,-0.000,-0.000,0.000,0.000
104,0.000,-0.000,-0.000,0.000,0.000
109,0.000,-0.000,-0.000,0.000,0.000
114,0.000,-0.000,-0.000,0.000,0.000
119,0.000,-0.000,-0.000,0.000,0.000
124,0.000,-0.000,-0.000,0.000,0.000
129,0.000,-0.000,-0.000,0.000,0.000
134,0.000,-0.000,-0.000,0.000,0.000
139,0.000,-0.000,-0.000,0.000,0.000
144,0.000,-0.000,-0.000,0.000,0.000
149,0.000,-0.000,-0.000,0.000,0.000
154,0.000,-0.000,-0.000,0.000,0.000
159,0.000,-0.000,-0.000,0.000,0.000
164,0.000,-0.000,-0.000,0.000,0.000
169,0.000,-0.000,-0.000,0.000,0.000
174,0.000,-0.000,-0.000,0.000,0.000
179,0.000,-0.000,-0.000,0.000,0.000
184,0.000,-0.000,-0.000,0.000,0.000
189,0.000,-0.000,-0.000,0.000,0.000
194,0.000,-0.000,-0.000,0.000,0.000
199,0.000,-0.000,-0.000,0.000,0.000
204,0.000,-0.000,-0.000,0.000,0.000
209,0.000,-0.000,-0.000,0.000,0.000
214,0.000,-0.000,-0.000,0.000,0.000
219,0.000,-0.000,-0.000,0.000,0.000
224,0.000,-0.000,-0.000,0.000,0.000
229,0.000,-0.000,-0.000,0.000,0.000
234,0.000,-0.000,-0.000,0.000,0.000
