probot_pi monitor: link=/dev/serial0@921600
monitor: IDLE heartbeats + telemetry listen (Ctrl-C to stop)

[OK      47Hz age= 12.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=4 rx=7 bad=0 drop=0 flt=none
[OK      50Hz age=  4.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=8 rx=17 bad=0 drop=0 flt=none
[OK      50Hz age=  0.5ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=12 rx=27 bad=0 drop=0 flt=none
[OK      50Hz age= 17.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=16 rx=37 bad=0 drop=0 flt=none
[OK      50Hz age= 14.6ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=20 rx=47 bad=0 drop=0 flt=none
[OK      50Hz age=  8.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=24 rx=57 bad=0 drop=0 flt=none
[OK      50Hz age=  4.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=28 rx=67 bad=0 drop=0 flt=none
[OK      50Hz age=  0.3ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=32 rx=77 bad=0 drop=0 flt=none
[OK      50Hz age= 16.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=36 rx=87 bad=0 drop=0 flt=none
[OK      50Hz age=  9.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=40 rx=97 bad=0 drop=0 flt=none
[OK      50Hz age=  7.9ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=44 rx=107 bad=0 drop=0 flt=none
[OK      50Hz age=  0.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=48 rx=117 bad=0 drop=0 flt=none
[OK      50Hz age= 12.9ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=52 rx=127 bad=0 drop=0 flt=none
[OK      50Hz age=  6.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=56 rx=137 bad=0 drop=0 flt=none
[OK      50Hz age=  2.3ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=60 rx=147 bad=0 drop=0 flt=none
[OK      45Hz age= 19.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=64 rx=156 bad=0 drop=0 flt=none
[OK      55Hz age= 15.8ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=68 rx=167 bad=0 drop=0 flt=none
[OK      50Hz age= 11.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=72 rx=177 bad=0 drop=0 flt=none
[OK      50Hz age=  7.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=76 rx=187 bad=0 drop=0 flt=none
[OK      50Hz age=  5.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=80 rx=197 bad=0 drop=0 flt=none
[OK      50Hz age=  1.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=84 rx=207 bad=0 drop=0 flt=none
[OK      45Hz age= 19.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=88 rx=216 bad=0 drop=0 flt=none
[OK      55Hz age= 16.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=92 rx=227 bad=0 drop=0 flt=none
[OK      50Hz age=  8.5ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=96 rx=237 bad=0 drop=0 flt=none
[OK      50Hz age=  4.5ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=100 rx=247 bad=0 drop=0 flt=none
[OK      45Hz age= 19.5ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=104 rx=256 bad=0 drop=0 flt=none
[OK      55Hz age= 13.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=108 rx=267 bad=0 drop=0 flt=none
[OK      50Hz age=  2.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=112 rx=277 bad=0 drop=0 flt=none
[OK      50Hz age= 12.8ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=116 rx=287 bad=0 drop=0 flt=none
[OK      50Hz age=  5.9ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=120 rx=297 bad=0 drop=0 flt=none
[OK      50Hz age=  1.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=124 rx=307 bad=0 drop=0 flt=none
