t,seq,v_cmd,w_cmd,omega_meas_l,omega_meas_r,yaw,yaw_rate,wE_l,wE_r,e_psi_deg,r_err_dps,sigma_err,dw_yaw,lam,omega_ref_l,omega_ref_r,pwm_l,pwm_r,vbat,fault_flags
0.5811,0,0.3,0.0,0.0,0.0,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.5824,1,0.3,0.0,0.0,0.0,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.5939,2,0.3,0.0,1.66154,1.66154,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6026,3,0.3,0.0,1.66154,1.66154,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6125,4,0.3,0.0,2.99077,2.99077,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6241,5,0.3,0.0,2.99077,2.99077,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6337,6,0.3,0.0,4.05415,4.05415,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6423,7,0.3,0.0,4.05415,4.05415,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6524,8,0.3,0.0,4.90486,4.90486,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6624,9,0.3,0.0,4.90486,4.90486,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6726,10,0.3,0.0,5.58543,5.58543,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6828,11,0.3,0.0,5.58543,5.58543,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.6933,12,0.3,0.0,6.12988,6.12988,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.7025,13,0.3,0.0,6.12988,6.12988,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.7135,14,0.3,0.0,6.56544,6.56544,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.7227,15,0.3,0.0,6.56544,6.56544,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
0.7322,16,0.3,0.0,6.91389,6.91389,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,0.9,8.30769,8.30769,0.0,0.0,11.1,0
