t,seq,v_cmd,w_cmd,omega_meas_l,omega_meas_r,yaw,yaw_rate,wE_l,wE_r,e_psi_deg,r_err_dps,sigma_err,dw_yaw,lam,omega_ref_l,omega_ref_r,pwm_l,pwm_r,vbat,fault_flags
0.4663,0,0.3,0.0,0.0,0.0,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.4762,1,0.3,0.0,1.84615,1.84615,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.4861,2,0.3,0.0,1.84615,1.84615,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.4962,3,0.3,0.0,3.32308,3.32308,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5061,4,0.3,0.0,3.32308,3.32308,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5161,5,0.3,0.0,4.50462,4.50462,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5262,6,0.3,0.0,4.50462,4.50462,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5362,7,0.3,0.0,5.44985,5.44985,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5462,8,0.3,0.0,5.44985,5.44985,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5562,9,0.3,0.0,6.20603,6.20603,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5664,10,0.3,0.0,6.20603,6.20603,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5763,11,0.3,0.0,6.81098,6.81098,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5862,12,0.3,0.0,6.81098,6.81098,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.5962,13,0.3,0.0,7.29494,7.29494,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6062,14,0.3,0.0,7.29494,7.29494,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6161,15,0.3,0.0,7.6821,7.6821,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6335,16,0.3,0.0,7.6821,7.6821,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6368,17,0.3,0.0,7.99184,7.99184,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6461,18,0.3,0.0,7.99184,7.99184,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6562,19,0.3,0.0,8.23962,8.23962,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6661,20,0.3,0.0,8.23962,8.23962,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6764,21,0.3,0.0,8.43785,8.43785,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6861,22,0.3,0.0,8.43785,8.43785,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.6961,23,0.3,0.0,8.59644,8.59644,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.7061,24,0.3,0.0,8.59644,8.59644,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.7162,25,0.3,0.0,8.7233,8.7233,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.7261,26,0.3,0.0,8.7233,8.7233,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.7361,27,0.3,0.0,8.8248,8.8248,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.7462,28,0.3,0.0,8.8248,8.8248,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.7561,29,0.3,0.0,8.90599,8.90599,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
0.7662,30,0.3,0.0,8.90599,8.90599,0.0,0.0,9.23077,9.23077,0.0,0.0,0.0,0.0,1.0,9.23077,9.23077,0.0,0.0,11.1,0
