t,seq,v_cmd,w_cmd,omega_meas_l,omega_meas_r,yaw,yaw_rate,wE_l,wE_r,e_psi_deg,r_err_dps,sigma_err,dw_yaw,lam,omega_ref_l,omega_ref_r,pwm_l,pwm_r,vbat,fault_flags
0.4646,0,7.21013000656967e-05,0.0,0.0,0.0,0.16936,0.0,0.00222,0.00222,-9.70373,0.0,0.0,-0.93049,1.0,0.93271,-0.92827,0.0,0.0,0.0,1
0.4746,1,0.0010829509000359393,0.0,0.0,0.0,0.16936,0.0,0.03332,0.03332,-9.70373,0.0,0.0,-0.93049,1.0,0.96381,-0.89717,0.0,0.0,0.0,1
0.4845,2,0.0020785359000001333,0.0,0.0,0.0,0.16936,0.0,0.06395,0.06395,-9.70373,0.0,0.0,-0.93049,1.0,0.99445,-0.86654,0.0,0.0,0.0,1
0.4972,3,0.003346900199994707,0.0,0.0,0.0,0.16936,0.0,0.10298,0.10298,-9.70373,0.0,0.0,-0.93049,1.0,1.03347,-0.82751,0.0,0.0,0.0,1
0.5045,4,0.00408290940004008,0.0,0.0,0.0,0.16936,0.0,0.12563,0.12563,-9.70373,0.0,0.0,-0.93049,1.0,1.05612,-0.80486,0.0,0.0,0.0,1
0.5147,5,0.005084686900045199,0.0,0.0,0.0,0.16936,0.0,0.15645,0.15645,-9.70373,0.0,0.0,-0.93049,1.0,1.08694,-0.77404,0.0,0.0,0.0,1
0.5246,6,0.006080966300032741,0.0,0.0,0.0,0.16936,0.0,0.18711,0.18711,-9.70373,0.0,0.0,-0.93049,1.0,1.1176,-0.74338,0.0,0.0,0.0,1
0.5349,7,0.007086804900063725,0.0,0.0,0.0,0.16936,0.0,0.21806,0.21806,-9.70373,0.0,0.0,-0.93049,1.0,1.14855,-0.71244,0.0,0.0,0.0,1
0.5445,8,0.00808043990000442,0.0,0.0,0.0,0.16936,0.0,0.24863,0.24863,-9.70373,0.0,0.0,-0.93049,1.0,1.17912,-0.68186,0.0,0.0,0.0,1
0.5545,9,0.009080848900066486,0.0,0.0,0.0,0.16936,0.0,0.27941,0.27941,-9.70373,0.0,0.0,-0.93049,1.0,1.2099,-0.65108,0.0,0.0,0.0,1
0.5647,10,0.010082413500003896,0.0,0.0,0.0,0.16936,0.0,0.31023,0.31023,-9.70373,0.0,0.0,-0.93049,1.0,1.24072,-0.62026,0.0,0.0,0.0,0
0.5752,11,0.011100953799996203,0.0,0.0,0.0,0.16936,0.0,0.34157,0.34157,-9.70373,0.0,0.0,-0.93049,1.0,1.27206,-0.58892,0.0,0.0,0.0,0
0.5847,12,0.01208284080003068,0.0,0.0,-0.12242,0.16936,0.0,0.37178,0.37178,-9.70373,0.0,0.0131,-0.93049,0.99981,1.3022,-0.55878,0.0941808670759201,-0.051599256694316864,0.0,0
0.5946,13,0.01308077570001842,0.0,0.0,-0.12242,0.16936,0.0,0.40249,0.40249,-9.70373,0.0,0.0131,-0.93049,0.99981,1.3329,-0.52808,0.0941808670759201,-0.051599256694316864,0.0,0
0.6045,14,0.01407402370005002,0.0,0.64734,-0.24639,0.16936,0.0,0.43305,0.43305,-9.70373,0.0,0.09565,-0.93049,0.99536,1.36153,-0.49945,0.06488624960184097,-0.04755387082695961,0.0,0
0.6152,15,0.015138200700039305,0.0,0.64734,-0.24639,0.16936,0.0,0.46579,0.46579,-9.70373,0.0,0.09565,-0.93049,0.99536,1.39412,-0.46686,0.06488624960184097,-0.04755387082695961,0.0,0
0.6245,16,0.01607979720001822,0.0,0.80818,-0.60163,0.16936,0.0,0.49476,0.49476,-9.70373,0.0,0.15087,-0.93049,0.9895,1.42006,-0.44092,0.05891380459070206,-0.03146995231509209,0.0,0
0.6347,17,0.017084782200072368,0.0,0.80818,-0.60163,0.16936,0.0,0.52569,0.52569,-9.70373,0.0,0.15087,-0.93049,0.9895,1.45066,-0.41032,0.05891380459070206,-0.03146995231509209,0.0,0
0.6445,18,0.018076737499995943,0.0,0.70411,-0.50416,0.16936,0.0,0.55621,0.55621,-9.70373,0.0,0.12931,-0.93049,0.992,1.48225,-0.37873,0.08504169434309006,-0.018639730289578438,0.0,0
0.6545,19,0.019079572500049834,0.0,0.70411,-0.50416,0.16936,0.0,0.58706,0.58706,-9.70373,0.0,0.12931,-0.93049,0.992,1.51286,-0.34812,0.08504169434309006,-0.018639730289578438,0.0,0
0.6644,20,0.020077611100077775,0.0,0.93459,-0.03541,0.16936,0.0,0.61777,0.61777,-9.70373,0.0,0.10381,-0.93049,0.99462,1.54494,-0.31604,0.07576118409633636,-0.042978525161743164,0.0,0
0.6745,21,0.021079779400042752,0.0,0.93459,-0.03541,0.16936,0.0,0.64861,0.64861,-9.70373,0.0,0.10381,-0.93049,0.99462,1.57561,-0.28537,0.07576118409633636,-0.042978525161743164,0.0,0
0.6845,22,0.022078212500036897,0.0,1.0138,-0.24028,0.16936,0.0,0.67933,0.67933,-9.70373,0.0,0.13421,-0.93049,0.99144,1.604,-0.25698,0.07278047502040863,-0.034072890877723694,0.0,0
0.6945,23,0.023079884500020853,0.0,1.0138,-0.24028,0.16936,0.0,0.71015,0.71015,-9.70373,0.0,0.13421,-0.93049,0.99144,1.63456,-0.22642,0.07278047502040863,-0.034072890877723694,0.0,0
0.7044,24,0.024078328700034037,0.0,1.19413,-0.01688,0.16936,0.0,0.74087,0.74087,-9.70373,0.0,0.1296,-0.93049,0.99197,1.66541,-0.19557,0.06495195627212524,-0.046649958938360214,0.0,0
0.7144,25,0.025077480300024036,0.0,1.19413,-0.01688,0.16936,0.0,0.77161,0.77161,-9.70373,0.0,0.1296,-0.93049,0.99197,1.69591,-0.16507,0.06495195627212524,-0.046649958938360214,0.0,0
0.7245,26,0.026078487399990993,0.0,0.969,-0.00119,0.16936,0.0,0.80241,0.80241,-9.70373,0.0,0.10383,-0.93049,0.99462,1.72859,-0.1324,0.09650745987892151,-0.03027486242353916,0.0,0
0.7344,27,0.027077978000033906,0.0,0.969,-0.00119,0.16936,0.0,0.83317,0.83317,-9.70373,0.0,0.10383,-0.93049,0.99462,1.75918,-0.10181,0.09650745987892151,-0.03027486242353916,0.0,0
0.7444,28,0.028078155500043066,0.0,1.07561,-0.0631,0.16936,0.0,0.86394,0.86394,-9.70373,0.0,0.12186,-0.93049,0.99281,1.78823,-0.07276,0.09317523241043091,-0.027260243892669678,0.0,0
0.7544,29,0.02907748300003732,0.0,1.07561,-0.0631,0.16936,0.0,0.89469,0.89469,-9.70373,0.0,0.12186,-0.93049,0.99281,1.81875,-0.04223,0.09317523241043091,-0.027260243892669678,0.0,0
0.7644,30,0.030077471700042224,0.0,1.26149,-0.00443,0.16936,0.0,0.92546,0.92546,-9.70373,0.0,0.13548,-0.93049,0.99129,1.84789,-0.01309,0.08509045839309692,-0.03097858652472496,0.0,0
0.7744,31,0.03107770850001543,0.0,1.26149,-0.00443,0.16936,0.0,0.95624,0.95624,-9.70373,0.0,0.13548,-0.93049,0.99129,1.8784,0.01742,0.08509045839309692,-0.03097858652472496,0.0,0
0.7844,32,0.032077517500056274,0.0,1.49866,-0.06333,0.16936,0.0,0.987,0.987,-9.70373,0.0,0.16716,-0.93049,0.9874,1.90506,0.04407,0.07454709708690643,-0.028108689934015274,0.0,0
0.7944,33,0.03307765610006754,0.0,1.49866,-0.06333,0.16936,0.0,1.01777,1.01777,-9.70373,0.0,0.16716,-0.93049,0.9874,1.93544,0.07446,0.07454709708690643,-0.028108689934015274,0.0,0
0.8044,34,0.03407766150003226,0.0,1.51532,-0.00445,0.16936,0.0,1.04854,1.04854,-9.70373,0.0,0.16264,-0.93049,0.98798,1.96644,0.10545,0.09383811056613922,-0.012573846615850925,0.0,0
0.8146,35,0.035081076000005845,0.0,1.51532,-0.00445,0.16936,0.0,1.07942,1.07942,-9.70373,0.0,0.16264,-0.93049,0.98798,1.99694,0.13596,0.09383811056613922,-0.012573846615850925,0.0,0
