t,seq,v_cmd,w_cmd,omega_meas_l,omega_meas_r,yaw,yaw_rate,wE_l,wE_r,e_psi_deg,r_err_dps,sigma_err,dw_yaw,lam,omega_ref_l,omega_ref_r,pwm_l,pwm_r,vbat,fault_flags
1.8339,144,0.14410245470007793,0.0,0.0,0.0,-0.00025,0.00195,4.43392,4.43392,0.0,0.11191,0.00187,-0.00373,0.99983,4.4369,4.42945,0.0,0.0,0.0,1
1.8439,145,0.14510503010005776,0.0,0.0,0.0,-0.00025,0.00195,4.46477,4.46477,0.0,0.11191,0.00187,-0.00373,0.99983,4.46774,4.46029,0.0,0.0,0.0,1
1.8537,146,0.14610028890001558,0.0,0.0,0.0,-0.00025,-0.00195,4.49539,4.49539,0.0,-0.11191,0.00187,0.00373,0.99983,4.49091,4.49836,0.0,0.0,0.0,1
1.8637,147,0.14709738100000322,0.0,0.0,0.0,-0.00025,-0.00195,4.52607,4.52607,0.0,-0.11191,0.00187,0.00373,0.99983,4.52158,4.52903,0.0,0.0,0.0,1
1.8737,148,0.14809844340006748,0.0,0.0,0.0,-0.00025,0.00586,4.55688,4.55688,0.0,0.33572,0.0056,-0.01118,0.99872,4.56221,4.53985,0.0,0.0,0.0,1
1.8836,149,0.14909664660008273,0.0,0.0,0.0,-0.00025,0.00586,4.58759,4.58759,0.0,0.33572,0.0056,-0.01118,0.99872,4.59288,4.57053,0.0,0.0,0.0,1
1.8938,150,0.15,0.0,0.0,0.0,-0.00025,0.0,4.61538,4.61538,0.0,0.0,0.0,0.0,1.0,4.61538,4.61538,0.0,0.0,0.0,1
1.9037,151,0.15,0.0,0.0,0.0,-0.00025,0.0,4.61538,4.61538,0.0,0.0,0.0,0.0,1.0,4.61538,4.61538,0.0,0.0,0.0,1
1.9147,152,0.15,0.0,0.4619,0.69969,-0.00025,0.00195,4.61538,4.61538,0.0,0.11191,0.02358,-0.00373,0.99802,4.60995,4.6025,0.3431529402732849,0.33140507340431213,0.0,0
1.9246,153,0.15,0.0,0.4619,0.69969,-0.00025,0.00195,4.61538,4.61538,0.0,0.11191,0.02358,-0.00373,0.99802,4.60995,4.6025,0.3431529402732849,0.33140507340431213,0.0,0
1.9339,154,0.15,0.0,3.08672,2.5785,-0.00025,-0.00195,4.61538,4.61538,-2e-05,-0.11191,0.05252,0.00372,0.99672,4.59653,4.60398,0.22398437559604645,0.2499333769083023,0.0,0
1.9455,155,0.15,0.0,3.08672,2.5785,-0.00025,-0.00195,4.61538,4.61538,-2e-05,-0.11191,0.05252,0.00372,0.99672,4.59653,4.60398,0.22398437559604645,0.2499333769083023,0.0,0
1.9537,156,0.15,0.0,3.69431,3.59922,-0.00025,-0.00195,4.61538,4.61538,-2e-05,-0.11191,0.00831,0.00372,0.99929,4.60839,4.61584,0.19866344332695007,0.20483727753162384,0.0,0
1.9637,157,0.15,0.0,3.69431,3.59922,-0.00025,-0.00195,4.61538,4.61538,-2e-05,-0.11191,0.00831,0.00372,0.99929,4.60839,4.61584,0.19866344332695007,0.20483727753162384,0.0,0
1.9739,158,0.15,0.0,4.26191,3.79333,-0.00025,0.0,4.61538,4.61538,-3e-05,0.0,0.05015,-0.0,0.99863,4.60905,4.60904,0.17335563898086548,0.19841597974300385,0.0,0
1.9837,159,0.15,0.0,4.26191,3.79333,-0.00025,0.0,4.61538,4.61538,-3e-05,0.0,0.05015,-0.0,0.99863,4.60905,4.60904,0.17335563898086548,0.19841597974300385,0.0,0
1.9936,160,0.15,0.0,4.04802,4.05014,-0.00025,0.00391,4.61538,4.61538,-3e-05,0.22381,0.0035,-0.00746,0.99944,4.62024,4.60533,0.19481167197227478,0.19641447067260742,0.0,0
2.0036,161,0.15,0.0,4.04802,4.05014,-0.00025,0.00391,4.61538,4.61538,-3e-05,0.22381,0.0035,-0.00746,0.99944,4.62024,4.60533,0.19481167197227478,0.19641447067260742,0.0,0
2.0137,162,0.15,0.0,3.94727,4.2869,-0.00026,0.0,4.61538,4.61538,0.00014,0.0,0.03635,2e-05,0.99919,4.61161,4.61165,0.20184390246868134,0.1872960925102234,0.0,0
2.0237,163,0.15,0.0,3.94727,4.2869,-0.00026,0.0,4.61538,4.61538,0.00014,0.0,0.03635,2e-05,0.99919,4.61161,4.61165,0.20184390246868134,0.1872960925102234,0.0,0
2.0337,164,0.15,0.0,4.05556,4.07942,-0.00025,-0.00195,4.61538,4.61538,-5e-05,-0.11191,0.00442,0.00372,0.99962,4.6099,4.61734,0.19885440170764923,0.1994745284318924,0.0,0
2.0437,165,0.15,0.0,4.05556,4.07942,-0.00025,-0.00195,4.61538,4.61538,-5e-05,-0.11191,0.00442,0.00372,0.99962,4.6099,4.61734,0.19885440170764923,0.1994745284318924,0.0,0
2.054,166,0.15,0.0,3.8884,4.06485,-0.00025,0.0,4.61538,4.61538,-7e-05,0.0,0.01888,-1e-05,0.99973,4.61415,4.61413,0.21030659973621368,0.20303381979465485,0.0,0
2.0637,167,0.15,0.0,3.8884,4.06485,-0.00025,0.0,4.61538,4.61538,-7e-05,0.0,0.01888,-1e-05,0.99973,4.61415,4.61413,0.21030659973621368,0.20303381979465485,0.0,0
2.0736,168,0.15,0.0,4.33856,3.88905,-0.00025,-0.00195,4.61538,4.61538,-0.00025,-0.11191,0.04624,0.00369,0.99703,4.59801,4.60539,0.19003678858280182,0.213723823428154,0.0,0
2.0835,169,0.15,0.0,4.33856,3.88905,-0.00025,-0.00195,4.61538,4.61538,-0.00025,-0.11191,0.04624,0.00369,0.99703,4.59801,4.60539,0.19003678858280182,0.213723823428154,0.0,0
2.0936,170,0.15,0.0,4.08305,4.1145,-0.00025,0.0,4.61538,4.61538,-9e-05,0.0,0.00337,-1e-05,0.99995,4.61517,4.61515,0.20454834401607513,0.20422692596912384,0.0,0
2.1036,171,0.15,0.0,4.08305,4.1145,-0.00025,0.0,4.61538,4.61538,-9e-05,0.0,0.00337,-1e-05,0.99995,4.61517,4.61515,0.20454834401607513,0.20422692596912384,0.0,0
2.1136,172,0.15,0.0,4.35223,4.41384,-0.00025,-0.00195,4.61538,4.61538,-0.00027,-0.11191,0.00846,0.00369,0.99928,4.60837,4.61575,0.19295431673526764,0.19118735194206238,0.0,0
2.1236,173,0.15,0.0,4.35223,4.41384,-0.00025,-0.00195,4.61538,4.61538,-0.00027,-0.11191,0.00846,0.00369,0.99928,4.60837,4.61575,0.19295431673526764,0.19118735194206238,0.0,0
2.1335,174,0.15,0.0,4.37114,4.08834,-0.00037,0.00195,4.61538,4.61538,0.00687,0.11191,0.03213,-0.00281,0.99761,4.60715,4.60153,0.19365067780017853,0.20934171974658966,0.0,0
2.1436,175,0.15,0.0,4.37114,4.08834,-0.00037,0.00195,4.61538,4.61538,0.00687,0.11191,0.03213,-0.00281,0.99761,4.60715,4.60153,0.19365067780017853,0.20934171974658966,0.0,0
2.1535,176,0.15,0.0,3.96996,4.12849,-0.00025,-0.00391,4.61538,4.61538,-0.00012,-0.22381,0.0207,0.00744,0.99681,4.59322,4.60809,0.2151595503091812,0.20874124765396118,0.0,0
2.1635,177,0.15,0.0,3.96996,4.12849,-0.00025,-0.00391,4.61538,4.61538,-0.00012,-0.22381,0.0207,0.00744,0.99681,4.59322,4.60809,0.2151595503091812,0.20874124765396118,0.0,0
2.1736,178,0.15,0.0,4.12018,4.35543,-0.00037,0.0,4.61538,4.61538,0.00686,0.0,0.02518,0.00091,0.99964,4.61279,4.61462,0.20928306877613068,0.19918696582317352,0.0,0
2.1837,179,0.15,0.0,4.12018,4.35543,-0.00037,0.0,4.61538,4.61538,0.00686,0.0,0.02518,0.00091,0.99964,4.61279,4.61462,0.20928306877613068,0.19918696582317352,0.0,0
2.1936,180,0.15,0.0,4.13073,4.37137,-0.00025,-0.00195,4.61538,4.61538,-0.00014,-0.11191,0.02762,0.00371,0.99779,4.60148,4.6089,0.21010197699069977,0.1997474730014801,0.0,0
2.2036,181,0.15,0.0,4.13073,4.37137,-0.00025,-0.00195,4.61538,4.61538,-0.00014,-0.11191,0.02762,0.00371,0.99779,4.60148,4.6089,0.21010197699069977,0.1997474730014801,0.0,0
2.2136,182,0.15,0.0,4.13147,4.37249,-0.00025,0.0,4.61538,4.61538,-0.00014,0.0,0.02579,-2e-05,0.99961,4.61361,4.61357,0.21119575202465057,0.20097456872463226,0.0,0
2.2235,183,0.15,0.0,4.13147,4.37249,-0.00025,0.0,4.61538,4.61538,-0.00014,0.0,0.02579,-2e-05,0.99961,4.61361,4.61357,0.21119575202465057,0.20097456872463226,0.0,0
2.2335,184,0.15,0.0,4.13152,4.43196,-0.00025,0.00195,4.61538,4.61538,-0.00015,0.11191,0.03029,-0.00375,0.99768,4.60843,4.60094,0.2125084400177002,0.1994459629058838,0.0,0
2.2435,185,0.15,0.0,4.13152,4.43196,-0.00025,0.00195,4.61538,4.61538,-0.00015,0.11191,0.03029,-0.00375,0.99768,4.60843,4.60094,0.2125084400177002,0.1994459629058838,0.0,0
2.2535,186,0.15,0.0,4.19092,4.37674,-0.00025,-0.00391,4.61538,4.61538,-0.00017,-0.22381,0.02362,0.00743,0.99636,4.59117,4.60603,0.21097610890865326,0.20341555774211884,0.0,0
